id,name,address,contact,Email Address, district,type,,
24,Belgaum Blood Centre AND Diagnostic Laboratory,"CTS No.4824/C47, 1st and 2nd Floor, Behind Vijaya Hospital, Ayodhya Nagar, Old P.B.Road, , Belgaum, Dist. Belagavi",9886942177,amosullia-hfws@karnataka.gov.in,Charitable/Vol,Camps,,
25,Belthangadi (BSU),Dist. Dakshina Kannada,8212466040,blchbloodbank42@gmail.com,Govt.,Camps,,
26,B.G.S.Apollo Hospital,"Kantharaj Urs Road, Kuvempunagar, Mysore, Dist. Mysore",9986829482,bskjeevashrayabloodcenter@gmail.com,Private,Camps,,
27,Bgs Global Institute Of Medical Science And Hospital Blood Centre,"Upperground  floor #67,Uttrahalli main road,Kengeri,Bangalore, Kengeri, Dist. Bangalore Urban",0,cauverycharitablebloodcentre91@gmail.com,Charitable/Vol,Camps,,
28,Bilagi (BSU),"Bagalkot, , Dist. Bagalkot",9880336328,crpvoluntarybloodcentre2022@gmail.com,Govt.,Camps,,
29,B.L.D.E. Association'S Medical College Hospital AND Research Centre,"Ashram Road, Bijapur, Dist. Vijayapura",7022520199,bsuguledgudda@gmail.com,Private,Camps,,
30,Blood Storage Center Government Hospital Bangarpet (BSU),"Bangarpete, Bangarpet, Dist. Kolar",8073063754,chigateridh.bb.dvg@gmail.com,Govt.,Camps,,
31,BLOOD STORAGE CENTER Kaduru,"Governmant general hospital kadur , NH 206, kadur taluk , KADUR, Dist. Chikmagalur",9448152792,bloodstoragecentrecims@gmail.com,Govt.,Camps,,
32,Blood Storage Centre Government Hospital Sullia(BSU),"Blood Storage Centre Government Hospital Sullia, Dist. Dakshina Kannada",8025594799,cityhospitalmangalore@hotmail.com,Govt.,Camps,,
33,"Bowring And Lady Curzon Hospitals Blood Centre, Bangalore","Bowring and Lady Curzon Hospitals, Shivaji Nagar, Next to Shivaji Nagar Bus stop, Bangalore, Dist. Bangalore Urban",9886550012,chctalikot@gmail.com,Govt.,Camps,,
34,BSK Jeevashraya Blood Centre,"6,3rd floor, above ICICI Bank, 3rd cross, Opp DG Hospital MKP Road, Padmanabhanagar, Bangalore, Bangalore, Dist. Bangalore Urban",6360682216,udayashankarsk@gmail.com,Private,Camps,,
35,Cauvery Charitable Blood Centre Bangalore,"3rd Floor, Above Yamaha Service Showroom, Bommanahalli, Hosur Main Road, Bangalore -560068.   , Bommanahalli, Dist. Bangalore Urban",0,brimsbloodbankbidar@yahoo.in,Charitable/Vol,Camps,,
36,Channagiri (BSU),Dist. Davanagere,7090328317,dhbbcta@gmail.com,Govt.,Camps,,
37,Channarayapatna voluantory blood centre ( A Unit of C V K L swayam seva samsthe (R) ),"D Kalenahalli road, near K S R T C bus stand, beside Balaji talkies, Mamateya madilu hospital ground floor, Channarayapatna, Channarayapatna, Dist. Hassan",0,districthospital.bb@gmail.com,Private,Camps,,
38,CHC-Akki Aluru  (BSU),"Akki Aluru, , Akki Aluru, Dist. Haveri", 99726 63581,mnd.districthospital.bb@gmail.com,Govt.,Camps,,
39,CHC- Guledagudd  (BSU),"Blood Storage Center community Health Center Guledgudda, Guledagudda, Dist. Bagalkot",0,udp.districthospital.bb@gmail.com,Govt.,Camps,,
40,CHC- Hirisave  (BSU),"Hirisave, ,  Hirisave, Dist. Hassan",0,simsbloodbank@gmail.com,Govt.,Camps,,
41,CHC-Kartagi  (BSU),"Karatagi, , Karatagi, Dist. Koppal",0,bramchbbb@gmail.com,Govt.,Camps,,
42,CHC-Mahalingpur  (BSU),"Mahalingapur, , Mahalingapur, Dist. Bagalkot",0,dwd.jeevanavars.bb@gmail.com,Govt.,Camps,,
43,CHC-Mudgal  (BSU),"Mudgal, Mudgal, Dist. Raichur",0,dr.surgimathtrust@gmail.com,Govt.,Camps,,
44,CHC-Sankeshwar  (BSU),"Belagavi, , Sankeshwar, Dist. Belagavi",9448944301,ecitybloodcentre@gmail.com,Govt.,Camps,,
45,"Chigateri District Hospital, Blood Bank","CHIGATERI DISTRICT HOSPITAL BLOOD BANK ROOM NO:3 P.J. EXTENSION DAVANGERE, Davanagere, Dist. Davanagere",0,bloodbankesic@gmail.com,Govt.,Camps,,
46,Chincholi (BSU),Dist. Kalaburagi,0,"blood.bank1@fortishealthcare,com",Govt.,Camps,,
47,Chittapur (BSU),Dist. Kalaburagi,9448330575,muller@fathermuller.in,Govt.,Camps,,
48,CIMS BLOOD STORAGE CENTRE BSU,"CIMS BLOOD STORAGE CENTRE, Mother and Child Hospital, B. Rachaiah Double Road, Chamarajanagara, Chamarajanagar, Dist. Chamarajanagar",9480064323,vijayvanionline@gmail.com,Govt.,Camps,,
49,City Hospital Research AND Diagnostic Centre BSU,"Pound Garden, Kadri, Mangalore, Dist. Dakshina Kannada",9108945235,bsumaddur@gmail.com,Private,Camps,,
50,Community Health Center CHC Talikoti BSU,"CHC Talikoti, Talikoti, Dist. Vijayapura",0,amomalavalli@gmail.com,Govt.,Camps,,
51,Dandeli (BSU),Dist. Uttara Kannada,0,chiefmedicalofficercmo@gmail.com,Govt.,Camps,,
52,Davanagere (BSU),Dist. Davanagere,9448174839,ghjaao1985tblk@gmail.com,Govt.,Camps,,
53,"District Hospital Blood Bank, Bellary (BSU)","Blood storage center, District Hospital, Anantapur road, Indira circle, ward no 18, Bellary, Bellary, Dist. Ballari",0,cmormd@gmail.com,Govt.,Camps,,
54,District Hospital Blood Centre Belgaum,"-, Belgaum, Dist. Belagavi",9448584999,ghsisgoshabb@gmail.com,Govt.,Camps,,
55,"District Hospital Blood Centre (Brims), Bidar","BRIMS Blood Bank BRIMS Teaching Hospital Udgir Road Bidar, BRIMS Blood Bank BRIMS Teaching Hospital Udgir Road Bidar, BIDAR, Dist. Bidar",8194200229,gokakbloodbankgokak@gmail.com,Govt.,Camps,,
56,"District Hospital  Blood Centre, Chitradurga","District Hospital, Chitradurga, District Hospital Premises, Main road, Near Rangayyana Bagillu, Chitradurga, Beside District Health Office (DHO), Chitradurga, Chitradurga, Dist. Chitradurga",8382226318,amodevanahalli@gmail.com,Govt.,Camps,,
57,"District Hospital Blood Centre, Karwar","M. G ROAD KARWAR, Karwar, Dist. Uttara Kannada",9482079950,ghngud@gmail.com,Govt.,Camps,,
58,District Hospital Blood Centre Mandya,"Mandya Institute of Medical Sciences, Mandya, MIMS, Campus BM Road, Mandya, Mandya, Dist. Mandya",9902199990,bngu.grace.bb@gmail.com,Govt.,Camps,,
59,"District Hospital Blood Centre, Udupi","District Hospital, Ajjarkadu, Udupi, Dist. Udupi",8182269521,contact@harshainstitutions.com,Govt.,Camps,,
60,District Hospital- Shivamoga,"McGann Teaching Dist Hospital, SIMS, Sagar road, Shivamogga, Shivamogga, Dist. Shimoga",9886228583,hhshmsbloodcentre@gmail.com,Govt.,Camps,,
61,Dr.B.R.Ambedkar Medical College Hospital Blood Centre,"Kadugondanahalli, Bengaluru, shampura main road, Bangalore, Dist. Bangalore Urban",9900233525,directorholycrossckm@gmail.com,Private,Camps,,
62,Dr. Jeevannavar's Blood Bank (Sanjeevini Seva and Shikshan Sanstha),"CTS No.104,1A/15-B, Muncipal No.20922/17A, DR.K.H Jituri Hospital, Gokul Road, Hosur Cross, Hubballi, Hubballi, Dist. Dharwad",9986568649,imabloodbankraichur@gmail.com,Charitable/Vol,Camps,,
63,Dr.Surgimath blood center,"yadgir, Yadgir, Dist. Yadgir",9036593993,redcrossdvg@gmail.com,Charitable/Vol,Camps,,
64,E-city Blood Centre,"AMR Arcade,4th Floor, 93-3B,Konappana Agrahara, Hosur Main Road,Electronic city post, Bengaluru, Dist. Bangalore Urban",8023013808,bbircsdkd@gmail.com,Charitable/Vol,Camps,,
65,"Esic Model Hospital Blood Centre, Bangalore","ESIC Model Hospital Medical College PGIMSR, II Block, Rajajinagar, Bangalore, Dist. Bangalore Urban",8123242142,ircsyadgir@gmail.com,Govt.,Camps,,
66,Fortis Hospital Pvt. Ltd.,"154/9, Bannerghatta Road, Opposite IIM-B, Bengaluru, Bangalore, Dist. Bangalore Urban",9036684581,ircskar@gmail.com,Private,Camps,,
67,Fr.Muller'S Charitable Institutions,"Post Box No.501, Kankanady, South India, Mangalore, Dist. Dakshina Kannada",9765023670,jcbloodbanktmk@gmail.com,Charitable/Vol,Camps,,
68,GCT's Sanjeevani Blood Storage Centre,"Shri Krishna Hospital, Near Laxmi Temple, M.G. Road, Beside Teggin Hanuman Temple, VIJAYAPUR, Vijayapur, Dist. Vijayapura",9035479901,info@jeevadharabloodbank.com,Charitable/Vol,Camps,,
69,General Hospital.Blood Storage Center  BSU,"Blood Storage Center Government Hospital,Maddur . Mandya District, Dist. Mandya",9448413205,jeevanaadharbb@gmail.com,Govt.,Camps,,
70,General Hospital Blood Storage Centre BSU,"Blood Storage Center Government  Hospital , Malavalli Mandya District, Dist. Mandya",9449378928,jeevansuraksha9880@gmail.com,Govt.,Camps,,
71,General Hospital Blood Storage Centre Challakere (BSU),"General Hospital Blood Storage Centre Challakere,Chitradurga, Dist. Chitradurga",9886404132,Jeevaraksha.bloodbank@gmail.com,Govt.,Camps,,
72,GENERAL HOSPITAL BLOOD STORAGE CENTRE JAYANAGAR,"15 LABORATORY , GENERAL HOSPITAL JAYANAGAR,4TH T BLOCK THILAKNAGAR, BANGALORE URBEN, Jayanagar, Dist. Bangalore Urban",9886280640,jeevasanjeevinibhadravathi@gmail.com,Govt.,Camps,,
73,General Hospital Ramdurg,"Taluka General Hospital Ramdurg, Belagavi, Karnataka, Ramdurg, Dist. Belagavi",9480314287,bloodcentre.jsmsh@jsw.in,Govt.,Camps,,
74,Ghsis Gosha Blood Centre,"HGHSIS GOSHA HOSPITAL SHIVAJINAGAR BANGALORE , Bangalore, Dist. Bangalore Urban",9975138218,bloodbank@kanachur.edu.in,Govt.,Camps,,
75,Gokak Blood Bank Gokak,"RS No: 213/2B,Plot No: 03, 1st Floor, Lakshmi Temple Road, Court Circle, , Gokak, Dist. Belagavi",8892997986,drwd.kims.bb@gmail.com,Charitable/Vol,Camps,,
76,Government Hospital  Blood storage centre (BSU),"Government Hospital  Blood storage centre Devanhalli Bangalore, , Dist. Bangalore Rural",9916374951,office.kh@manipal.edu,Govt.,Camps,,
77,Govt Blood Storage unit Nanjangudu (BSU),"Nanjangudu, Nanjangudu, Dist. Mysore",9740330720,kempegowdamst@gmail.com,Govt.,Camps,,
78,Grace Blood Centre And Laboratory,"2/1,1st Floor,10th Main,6th Cross, Vasanthappa Block, CBI Road, KGH Layout, Ganga Nagar, Bangalore, Dist. Bangalore Urban",0,kbnbloodbank@gmail.com,Private,Camps,,
79,Guribidanuru (BSU),"Chikkaballapura, , Dist. Chikkaballapura",0,bngu.kidwai.bb@gmail.com,Govt.,Camps,,
80,Haliyala (BSU),Dist. Uttara Kannada,0,acalatgi@gmail.com,Govt.,Camps,,
81,Harapanahalli (BSU),Dist. Davanagere,9483222666,klebloodbank@gmail.com,Govt.,Camps,,
82,Harsha Hospital Blood Centre,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Nela, Bangalore, Dist. Bangalore Rural",8472261886,kolarlionsbloodbank@gmail.com,Private,Camps,,
83,Health Care Blood Centre,"Chakkar Katta, Maktampura, Gulbarga, Dist. Gadag",0,chcsaligrama@gmail.com,Private,Camps,,
84,Heggadadevanakote (BSU),Dist. Mysore,9845854991,amoghkrp@gmail.com,Govt.,Camps,,
85,HHS AND HMS ( RA) BLOOD CENTRE,"3,FF 22,1st Floor,Hazrath Hameed Shah Complex,cubbonpet main road, , Bangalore, Dist. Bangalore Urban",0,lifecarebloodbankglb@gmail.com,Charitable/Vol,Camps,,
86,Hiriyur (BSU),"Chitradurga, Dist. Chitradurga",0,dwd.lifeline.bb@gmail.com,Govt.,Camps,,
87,Holalkere (BSU),"Chitradurga, Dist. Chitradurga",0,lionsbloodbank1983@gmail.com,Govt.,Camps,,
88,Holenarasipura (BSU),Dist. Hassan,9844964452,lionsbloodbank317a@gmail.com,Govt.,Camps,,
89,Holy Cross Hospital,"Jyothi Nagar, housing board, Chickmagalur, Dist. Chikmagalur",0,lionsclubbijapur@gmail.com,Private,Camps,,
90,Hosanagara (BSU),Dist. Shimoga,0,gangahuvin2k4@gmail.com,Govt.,Camps,,
91,Hospet (BSU),"Bellary, Dist. Ballari",o,ckm.amgh.bb@gmail.com,Govt.,Camps,,
92,Humnabad (BSU),"Bidar, , Dist. Bidar",0,ss_964@rediffmail.com,Govt.,Camps,,
93,Hungund (BSU),"Bagalkot, , Dist. Bagalkot",0,vijayvanionline@gmail.com,Govt.,Camps,,
94,I.G.I.Of C. H. Bangalore,"-, BANGALORE , Dist. Bangalore Urban",9964398862 9342710617,bloodbank.sup@manipalhospitals.com,Govt.,Camps,,
95,Indian Medical Association Blood Centre,"IMA, 3.9.58, Old Govt. Hospital Compound, Beron Quilla, Raichur, Dist. Raichur",9945299152,ashok.hm@manipalhospitals.com,Private,Camps,,
96,"Indian Red Cross Soceity Blood Centre, Davanagere","Shamanur Shivashnakarappa Building JP extension, Devraj urs Layout , Davangere, Davanagere, Dist. Davanagere",8431756133,Shivaram@manipalhospitals.com,Red Cross,Camps,,
97,"Indian Red Cross Society, Blood Centre Mangalore","Government  Lady Goschen Hospital primeses,opp Town Hall Mangalore, Mangalore, Dist. Dakshina Kannada",08473 250355  07829487838,bloodbank.mhypr@manipalhospitals.com,Red Cross,Camps,,
98,"Indian Red Cross Society Blood Centre, Yadgir","District Hospital Premises, Gate No. 3, Yadgir District Branch, Yadgir , Dist. Yadgir",9035068435,marathahallivbb@gmail.com,Red Cross,Camps,,
99,"Indian Red Cross Society, Karnataka Red Cross Blood Centre Bengaluru","No-26 Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru, Dist. Bangalore Urban",9844417613,drnagarajmdy@gmail.com,Red Cross,Camps,,
100,J.C. Voluntary Blood Centre,"NO;5421 Katha No;2279/2642, 2nd floor Narashimha Bulidng Nisarga Layout Shivakumar Swamji Circel B.H. Road, , Tumkur, Dist. Tumkur",8.21E+19,medicarebloodbank@gmail.com,Private,Camps,,
101,Jeevadhara Voluntary Blood Centre (A Unit Of Cauvery Social Services Trust),"No.1475, 2nd floor & 3rd floor mission Hospital Road, Mandhi, Mysore, Dist. Mysore",9686391939  9035042117,mohmudigere@gmail.com,Private,Camps,,
102,Jeevan Aadhar Blood Centre,"18/26 & 18/27, 1st Floor, Mehta Bulding, Mini Vidhan Soudha, Chirayu Hospital Road, Kalaburagi, Dist. Kalaburagi",9164032956 9880197192,thejkdbloodbank@gmail.com,Private,Camps,,
103,Jeevan Suraksha Blood Storage Centre,"Magi Nursing Home Divatageri, Assar Galli, near Raghavendra Temple, Vijayapura, Karnataka, Bijapuri, Dist. Vijayapura",9900777791,bloodbank.astercmi@asterhospital.com,Private,Camps,,
104,JEEVARAKSHA VOLUNTARY BLOOD CENTRE,"NO,30/1 Leemans complex,3rd floor, Next to just dial,cunningham road, Bangalore, Dist. Bangalore Urban",9964111156,msdmkoppa@gmail.com,Private,Camps,,
105,Jeeva Sanjeevini Voluntary Blood Centre,"irst Floor, SS Complex, Katha No. 501/558, Halappa Circle, B.H Road, Bhadravathi, Bhadaravathi, Dist. Shimoga",0,bloodcenter@pesuimsr.pes.edu,Charitable/Vol,Camps,,
106,Jevargi (BSU),Dist. Kalaburagi,9964858473,bloodcentre09@gmail.com,Govt.,Camps,,
107,Jindal Sanjeevani Multi Speciality Hospital Blood Centre,"Vijay Vittal Nagar, Toranagallu, Sandur (Taluk), Bellari (District), Karnataka, Toranagallu, Dist. Ballari",9.62E+19,hschbl@gmail.com,Private,Camps,,
108,Jyothi Hospital,"Laila, Belthangady, Dakshina Kannada, Dist. Dakshina Kannada",0,bsuthmudhol@gmail.com,Private,Camps,,
109,Kalaghatagi (BSU),Dist. Dharwad,9448296731,klrmblbsc@gmail.com,Govt.,Camps,,
110,Kanachur Hospital AND Research Centre,"Ground Floor, C Block, University Road,   Deralakatte,  Mangaluru, Dakshina Kannada, Dist. Dakshina Kannada",0,bloodbank@mvjmc.edu.in,Private,Camps,,
111,Karkala (BSU),Dist. Udupi,9945702542,nhbbmys@narayanahealth.org,Govt.,Camps,,
112,Karnataka Medical College and Research Institute,"3rd floor , KMCRI Hospital Vidya Nagar Hubballi , Hubli, Dist. Dharwad",9686675098,ravichavan851@gmail.com,Govt.,Camps,,
113,Kasturba Hospital Blood Centre,"Site.No.55/2, Shivalli Village, Manipal, Udupi, Dist. Udupi",9.97E+19,stjosephsbloodbankmysore@gmail.com,Private,Camps,,
114,"Kempegowda Medical Service Trust, Millenium Blood Centre","No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwa, Bangalore, Dist. Bangalore Urban",9.90E+19,principal.ngsmips@nitte.edu.in,Private,Camps,,
115,Khaja Banda Nawaz Teaching And General Hospital Blood Centre,"Khaja Nagri, Station Main Road, Gulbarga, Dist. Kalaburagi",08026094082 9986990040,oceansuh36@gmail.com,Charitable/Vol,Camps,,
116,"Kidwai Memorial Institute Of Oncology Blood Centre, Bangalore","Kidwai Memorial Institute of Oncology, M. H Marigowda Road, Near Dairy Circle, Bangalore, Dist. Bangalore Urban",9341105585,amoghbirur2010@gmail.com,Govt.,Camps,,
117,KLE CENTENARY CHARITABLE HOSPITAL AND MRC BLOOD BANK,"KLE CCH &MRC BLOOD CEN YELLUR ROAD BELAGAVI., Belagavi, Dist. Belagavi",9448273131,raichurvbloodbank@gmail.com,Charitable/Vol,Camps,,
118,K.L.E.Society'S Hospital And Medical Research Centre,"NH 4, Nehru Nagar, Belagavi, Belgaum, Dist. Belagavi",6366243931,Redcircleblood@gmail.com,Private,Camps,,
119,Kolar Lions Blood Center,"Suguna complex 2nd floor,near KSRTC, Bus Stand, Antharagange Road, Kolar, Kolar, Dist. Kolar",8970346998 9448871867,redlifebloodcentre@gmail.com,Private,Camps,,
120,K R  HOSPITAL  MYSORE,"COMMUNITY HELATH CENTER SALIGRAMA, K R NAGARA TALUK, , K R NAGARA, Dist. Mysore",9620418288,rotarybloodcentreaasare@gmail.com,Govt.,Camps,,
121,K.R. Pet (BSU),"Pete, K R Pete, Dist. Mandya",0,Rotaryima@gmail.com,Govt.,Camps,,
122,Kudligi (BSU),"Bellary, Dist. Ballari",0,rchbb.mysore@rediffmail.com,Govt.,Camps,,
123,Kundgol (BSU),Dist. Dharwad,0,somu_basava05@rediffmail.com,Govt.,Camps,,
124,Kushtagi (BSU),Dist. Koppal,9590824215,bellilokesh@gmail.com,Govt.,Camps,,
125,Life Care Blood Centre,"1st floor Corporation No 5-993/31/3 Tipusultan Chouck, Azadpura Road, Kalabur, Kalaburgi, Dist. Kalaburagi",9.98E+19,BLOODBANK.JNR@SAGARHOSPITALS.IN,Private,Camps,,
126,Lifeline 24x7 Blood Centre,"LIfeline 24x7 ICU  Hosp, Opp New Bus Stand, Airport Road, Hubballi, Hubli, Dist. Dharwad",9845315670,simskgf@gmail.com,Private,Camps,,
127,Lions Blood Bank,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar, Bangalore, Dist. Bangalore Urban",9731075886 / 9845165539,bbsito97@gmail.com,Private,Camps,,
128,Lions Blood Centre,"2925/A16 Prasad Elegance, west of cord road, RPC Layout Vijayanagar, Vijayanagar, Dist. Bangalore Rural",9.85E+21,sanjeevinibloodbank6@gmail.com,Charitable/Vol,Camps,,
129,Lion'S Blood Centre,"Bandikaman Road, Ward No.6, CTS No.168, Basement Ground and , Bijapur, Dist. Vijayapura",9028824270,jayanagarbloodbank24hrs@gmail.com,Private,Camps,,
130,Maax blood storage centre BSU,"RMR road, Park extension, Shimoga, Dist. Shimoga",0,sapthagiribloodbank@gmail.com,Private,Camps,,
131,Madhugiri (BSU),Dist. Tumkur,9448961599,ckm.sharadadhanvanthri.bb@gmail.com,Govt.,Camps,,
132,"Mallegowda District Hospital Blood Centre, Chikkamagaluru","MO BLOOD BANK, MALLEGOWDA GENERAL HOSPITAL, NEAR AZAD PARK, CHIKKAMAGALURURE, DISTRICT SURGEON, DISTRICT HSOPITAL, CHIKKAMAGALURU, CHIKKAMAGALURU, Dist. Chikmagalur",9.85E+19,rotarysmg@gmail.com,Govt.,Camps,,
133,Mallya Hospital No.2,"No.2 ,Vittal Mallya Road, Bengaluru, Bangalore, Dist. Bangalore Urban",8275029627,sbbcrnr@gmail.com,Private,Camps,,
134,Managuli Hospital Blood Storage Centre,"Dr. Managuli Hospital,  Near Tahasildar Office, SINDAGI, Vijayapur, Vijayapur, Dist. Vijayapura",8105437023,shreemahaveerbb@gmail.com,Private,Camps,,
135,Manipal Hospital Blood Centre,"SY.NO. 10P AND 12P, RAMAGONDANAHALLI,VARTHUR HOBLI,Bangalore, Bengalore Urban, Dist. Bangalore Urban",9986063266,ssvbloodcenterdvg@gmail.com,Private,Camps,,
136,MANIPAL HOSPITAL BLOOD STORAGE CENTRE BSU Bashettihalli Village,"Survey No 22/1B, 55/2, Bashettihalli Village, Doddaballapura, Bangalore Rural, Dist. Bangalore Urban",9.85E+20,bsughmanvi@gmail.com,Private,Camps,,
137,Manipal Hospital Transfusion Services,"98,Rustom Bagh,HAL Airport Road, Bangalore, Bangalore, Dist. Bangalore Urban",9535871458,igibloodbank@gmail.com,Private,Camps,,
138,Manipal Hospital Yeshwanthpur blood centre,"24/1, Brigade gateway, Beside Metro, Malleswaram West, Yeshwanthpur, Bangalore , Bangalore, Dist. Bangalore Urban",9916749060 9880412362,admin@tsshospital.com,Private,Camps,,
139,Marathahalli Voluntary Blood Bank,"9/10 OUTER RING ROAD, NEXT TO KALAMANDIR,ABOVE PRASIDDI SILKS, MARATHAHALLI,BENGALURU, Bangalore, Dist. Bangalore Urban",9.97E+19,bgm.saibloodbank@gmail.com,Private,Camps,,
140,Mdc Voluntary Blood Centre,"Khatha No. D5/1045/187, Alahalli Extension, General Hospital, Mandya, Dist. Mandya",9243668777,siddagangasreebc@gmail.com,Private,Camps,,
141,Medicare Multispecialty Hospital(Badgu Health Services Pvt Ltd.),"1st floor,no-4-501/4C, Darga Road,Santraswadi,Kalaburagi, Dist. Kalaburagi",9448666642,bsusindagi@gmail.com,Private,Camps,,
142,MGM Taluk General Hospital Blood Storage Centre  BSU,"MGM Taluk General Hospital Blood Storage Centre Mudigere,chikmagalur, Dist. Chikmagalur",9.45E+18,bngu.skvoluntarybb@gmail.com,Govt.,Camps,,
143,Mounesh Hospital The Jamkhandi Blood Centre,"Near P.B. High School, Uma Rameshwar Road, Jamkhandi, Bagalkot, Dist. Bagalkot",9739722224,kctribloodbank@gmail.com,Private,Camps,,
144,M/S Aster Cmi Hospital Blood Centre,"Aster CMI Hospital, No.43/2,Sahakar nagar, Hebbal,  Bengaluru, Bengalore Urban, Dist. Bangalore Urban",973144933,klrsnrdistricthospitalbb1@gmail.com,Private,Camps,,
145,M.S.D.M. General Hospital Koppa (BSU),"Blood Storage Uni,tChikkamagaluru, Koppa, Dist. Chikmagalur",7411814902,spandanabloodcentre.sgp@mail.com,Govt.,Camps,,
